symbol,isin,trade_date,exchange,segment,series,trade_type,auction,quantity,price,trade_id,order_id,order_execution_time
WEBELSOLAR,INE855C01015,2022-04-01,NSE,EQ,EQ,buy,false,10.000000,95.550003,75376442,1300000001475665,2022-04-01T09:25:55
MTARTECH,INE864I01014,2022-04-01,NSE,EQ,EQ,buy,false,1.000000,1763.000000,51570298,1200000006294070,2022-04-01T10:33:58
TATAMOTORS,INE155A01022,2022-04-01,NSE,EQ,EQ,buy,false,2.000000,434.100006,77369436,1300000009151913,2022-04-01T11:36:52
TATAPOWER,INE245A01021,2022-04-04,NSE,EQ,EQ,buy,false,10.000000,247.199997,75166151,1300000000541022,2022-04-04T09:16:27
MTARTECH,INE864I01014,2022-04-04,NSE,EQ,EQ,buy,false,3.000000,1762.550049,50265859,1200000000871077,2022-04-04T09:19:30
BSE,INE118H01025,2022-04-04,NSE,EQ,EQ,buy,false,2.000000,923.299988,4180376,1000000017403728,2022-04-04T14:01:26
ADANIPORTS,INE742F01042,2022-04-04,NSE,EQ,EQ,sell,false,2.000000,816.250000,4262473,1000000017791612,2022-04-04T14:09:34
ADANIPORTS,INE742F01042,2022-04-05,BSE,EQ,A,sell,false,8.000000,835.250000,1108700,1649129400021115883,2022-04-05T09:21:15
SAREGAMA,INE979A01017,2022-04-05,BSE,EQ,A,sell,false,1.000000,4951.049805,12154900,1649130600382431722,2022-04-05T09:22:16
SAREGAMA,INE979A01017,2022-04-05,BSE,EQ,A,sell,false,1.000000,4951.000000,12155100,1649130600382431722,2022-04-05T09:22:16
LT,INE018A01030,2022-04-05,NSE,EQ,EQ,buy,false,2.000000,1834.000000,50354838,1200000001417951,2022-04-05T09:24:12
ADANIPORTS,INE742F01042,2022-04-05,BSE,EQ,A,sell,false,6.000000,839.250000,1471000,1649129400021244499,2022-04-05T09:24:42
DMART,INE192R01011,2022-04-05,BSE,EQ,A,buy,false,1.000000,4129.950195,16343000,1649130600382994398,2022-04-05T09:25:27
DMART,INE192R01011,2022-04-05,BSE,EQ,A,buy,false,1.000000,4129.200195,16342800,1649130600382994398,2022-04-05T09:25:27
DMART,INE192R01011,2022-04-06,NSE,EQ,EQ,buy,false,1.000000,4095.750000,25545603,1100000001888389,2022-04-06T09:26:42
BORORENEW,INE666D01022,2022-04-06,BSE,EQ,A,sell,false,2.000000,641.750000,18893200,1649217391090279834,2022-04-06T09:31:34
BSE,INE118H01025,2022-04-06,NSE,EQ,EQ,buy,false,2.000000,911.549988,742632,1000000002366436,2022-04-06T09:32:31
NIFTYBEES,INF204KB14I2,2022-04-06,NSE,EQ,EQ,buy,false,10.000000,193.669998,50633452,1200000002473066,2022-04-06T09:33:03
UNIONBANK,INE692A01016,2022-04-06,BSE,EQ,A,sell,false,100.000000,42.950001,1652000,1649215800028256800,2022-04-06T10:27:49
CAMS,INE596I01012,2022-04-06,BSE,EQ,A,sell,false,1.000000,2569.899902,71159200,1649221023463018454,2022-04-06T11:33:20
TATAMOTORS,INE155A01022,2022-04-06,BSE,EQ,A,buy,false,4.000000,456.850006,7484600,1649222692890348092,2022-04-06T11:36:37
TATAMOTORS,INE155A01022,2022-04-06,BSE,EQ,A,buy,false,5.000000,457.200012,11543800,1649231090653107204,2022-04-06T13:35:56
TATAMOTORS,INE155A01022,2022-04-06,BSE,EQ,A,buy,false,1.000000,457.500000,11546400,1649231090653107380,2022-04-06T13:36:09
ITC,INE154A01025,2022-04-06,BSE,EQ,A,sell,false,20.000000,260.049988,10571700,1649225792688676801,2022-04-06T14:29:40
BORORENEW,INE666D01022,2022-04-07,BSE,EQ,A,sell,false,5.000000,672.000000,30539300,1649303314104885912,2022-04-07T09:43:59
BORORENEW,INE666D01022,2022-04-07,BSE,EQ,A,sell,false,1.000000,672.000000,30537900,1649303314104885912,2022-04-07T09:43:59
BORORENEW,INE666D01022,2022-04-07,BSE,EQ,A,sell,false,1.000000,672.000000,30538100,1649303314104885912,2022-04-07T09:43:59
BORORENEW,INE666D01022,2022-04-07,BSE,EQ,A,sell,false,1.000000,672.000000,30537700,1649303314104885912,2022-04-07T09:43:59
BORORENEW,INE666D01022,2022-04-07,BSE,EQ,A,sell,false,1.000000,672.000000,30538900,1649303314104885912,2022-04-07T09:43:59
BORORENEW,INE666D01022,2022-04-07,BSE,EQ,A,sell,false,1.000000,672.000000,30538300,1649303314104885912,2022-04-07T09:43:59
