symbol,isin,trade_date,exchange,segment,series,trade_type,auction,quantity,price,trade_id,order_id,order_execution_time
IRFC,INE053F01010,2026-02-26,NSE,EQ,EQ,buy,false,1.0,104.94,200788671,1100000006796263,2026-02-26T09:29:04
IRFC,INE053F01010,2026-02-26,NSE,EQ,EQ,buy,false,19.0,104.94,200788672,1100000006796263,2026-02-26T09:29:04
NSDL,INE301O01023,2026-02-26,BSE,EQ,B,buy,false,5.0,923.45,381200,1772076600150031783,2026-02-26T09:31:02
IRFC,INE053F01010,2026-03-02,BSE,EQ,A,buy,false,20.0,98.7,11912200,1772431546600479913,2026-03-02T12:19:15
RAILTEL,INE0DD101019,2026-03-02,BSE,EQ,A,buy,false,25.0,294.9,33442700,1772433555714396364,2026-03-02T12:30:22
TIPSMUSIC,INE716B01029,2026-03-05,BSE,EQ,A,buy,false,10.0,510.65,8471600,1772693603762129504,2026-03-05T12:44:15
ECORECO,INE316A01038,2026-03-05,BSE,EQ,B,buy,false,1.0,344.95,2115300,1772681400000019982,2026-03-05T12:44:34
ECORECO,INE316A01038,2026-03-05,BSE,EQ,B,buy,false,9.0,345.0,2115500,1772681400000019982,2026-03-05T12:44:34
AZAD,INE02IJ01035,2026-03-06,BSE,EQ,A,sell,false,2.0,1628.7,4173500,1772774362479958621,2026-03-06T12:24:20
AZAD,INE02IJ01035,2026-03-06,BSE,EQ,A,sell,false,5.0,1628.1,4174100,1772774362479958621,2026-03-06T12:24:20
AZAD,INE02IJ01035,2026-03-06,BSE,EQ,A,sell,false,5.0,1628.15,4173900,1772774362479958621,2026-03-06T12:24:20
AZAD,INE02IJ01035,2026-03-06,BSE,EQ,A,sell,false,8.0,1628.2,4173700,1772774362479958621,2026-03-06T12:24:20
RAILTEL,INE0DD101019,2026-03-06,BSE,EQ,A,buy,false,5.0,295.9,12903500,1772782895974921873,2026-03-06T14:17:42
AWHCL,INE01BK01022,2026-03-09,NSE,EQ,EQ,buy,false,2.0,458.7,6546472,1000000061941188,2026-03-09T14:11:00
AWHCL,INE01BK01022,2026-03-09,NSE,EQ,EQ,buy,false,8.0,458.65,6546471,1000000061941188,2026-03-09T14:11:00
TIPSMUSIC,INE716B01029,2026-03-09,NSE,EQ,EQ,buy,false,10.0,495.3,607997319,1300000078465807,2026-03-09T14:11:21
