symbol,isin,trade_date,exchange,segment,series,trade_type,auction,quantity,price,trade_id,order_id,order_execution_time
CENTURYTEX,INE055A01016,4/1/2021,NSE,EQ,EQ,buy,FALSE,3,463,657321,1.00E+15,2021-04-01T09:49:57
ASHOKLEY,INE208A01029,4/1/2021,NSE,EQ,EQ,buy,FALSE,5,114.099998,664373,1.00E+15,2021-04-01T09:50:31
M&MFIN,INE774D01024,4/1/2021,NSE,EQ,EQ,buy,FALSE,3,201.300003,50680196,1.20E+15,2021-04-01T09:51:26
TATAPOWER,INE245A01021,4/1/2021,NSE,EQ,EQ,buy,FALSE,8,104,75784140,1.30E+15,2021-04-01T09:51:58
TRIDENT,INE064C01022,4/1/2021,NSE,EQ,EQ,buy,FALSE,10,14.15,75872469,1.30E+15,2021-04-01T09:58:34
TRIDENT,INE064C01022,4/1/2021,NSE,EQ,EQ,buy,FALSE,4,14.15,75874683,1.30E+15,2021-04-01T09:58:47
ONGC,INE213A01029,4/1/2021,NSE,EQ,EQ,buy,FALSE,5,102.849998,50775302,1.20E+15,2021-04-01T09:59:54
IDFCFIRSTB,INE092T01019,4/1/2021,NSE,EQ,EQ,buy,FALSE,5,57.5,26299553,1.10E+15,2021-04-01T10:22:55
CENTURYTEX,INE055A01016,4/5/2021,NSE,EQ,EQ,buy,FALSE,10,446.799988,5010418,1.00E+15,2021-04-05T15:27:26
ALKALI,INE773I01017,4/7/2021,NSE,EQ,EQ,buy,FALSE,13,58.549999,5871193,1.00E+15,2021-04-07T15:05:17
ALKALI,INE773I01017,4/7/2021,NSE,EQ,EQ,buy,FALSE,7,58.549999,5871194,1.00E+15,2021-04-07T15:05:17
KOLTEPATIL,INE094I01018,4/7/2021,NSE,EQ,EQ,buy,FALSE,3,243.100006,53773654,1.20E+15,2021-04-07T15:13:42
ONGC,INE213A01029,4/7/2021,NSE,EQ,EQ,buy,FALSE,2,104.800003,53879048,1.20E+15,2021-04-07T15:19:20
DABUR,INE016A01026,4/8/2021,NSE,EQ,EQ,sell,FALSE,1,555.5,2493494,1.00E+15,2021-04-08T11:43:21
HINDZINC,INE267A01025,4/8/2021,BSE,EQ,A,sell,FALSE,5,307.649994,2231900,1.62E+18,2021-04-08T11:50:15
SCI,INE109A01011,4/8/2021,BSE,EQ,A,buy,FALSE,5,114,2504100,1.62E+18,2021-04-08T11:51:35
XELPMOC,INE01P501012,4/8/2021,NSE,EQ,EQ,sell,FALSE,40,312.700012,78311849,1.30E+15,2021-04-08T13:05:55
DAAWAT,INE818H01020,4/8/2021,BSE,EQ,A,sell,FALSE,30,65.650002,63382300,1.62E+18,2021-04-08T15:42:34
CENTURYTEX,INE055A01016,4/9/2021,NSE,EQ,EQ,sell,FALSE,20,500,2552875,1.00E+15,2021-04-09T11:30:51
IDFCFIRSTB,INE092T01019,4/9/2021,NSE,EQ,EQ,buy,FALSE,25,56.200001,27622189,1.10E+15,2021-04-09T12:14:00
IDFCFIRSTB,INE092T01019,4/12/2021,BSE,EQ,A,buy,FALSE,25,51.950001,4628600,1.62E+18,2021-04-12T09:43:58
KRBL,INE001B01026,4/12/2021,NSE,EQ,EQ,buy,FALSE,10,183.25,51062772,1.20E+15,2021-04-12T09:46:50
